date,lux,tem_in,tem_win,sonar_in,sonar_out,move,p,adx,ady,adz,awx,awy,awz,activity
2018-03-20 11:12:35,37,19.1,19.5,155,124,1,13.0,-0.95,-0.04,-0.22,-0.94,-0.01,-0.25,
2018-03-20 11:12:35,38,19.1,19.5,147,132,1,13.0,-0.95,-0.03,-0.22,-0.95,-0.03,-0.25,
2018-03-20 11:12:35,37,19.1,19.5,147,133,1,13.0,-0.95,-0.04,-0.22,-0.94,-0.02,-0.25,
2018-03-20 11:12:36,37,19.1,19.5,149,130,1,13.0,-0.95,-0.03,-0.21,-0.94,-0.01,-0.24,
2018-03-20 11:12:37,37,19.1,19.5,142,132,1,13.0,-0.95,-0.04,-0.21,-0.94,-0.02,-0.25,
2018-03-20 11:12:37,37,19.1,19.5,134,145,1,13.0,-0.95,-0.04,-0.21,-0.94,-0.02,-0.24,
2018-03-20 11:12:37,38,19.1,19.5,148,131,1,13.0,-0.95,-0.03,-0.22,-0.95,-0.02,-0.25,
2018-03-20 11:12:38,37,19.1,19.5,143,136,1,13.0,-0.94,-0.04,-0.21,-0.94,-0.02,-0.24,
2018-03-20 11:12:39,36,19.1,19.5,152,128,1,13.0,-0.94,-0.04,-0.21,-0.95,-0.02,-0.24,
2018-03-20 11:13:23,39,19.1,19.5,135,146,1,24.0,-0.95,-0.05,-0.22,-0.92,-0.02,-0.33,
2018-03-20 11:13:25,38,19.1,19.5,128,148,1,25.0,-0.94,-0.04,-0.21,-0.92,-0.02,-0.33,
2018-03-20 11:13:25,38,19.1,19.4,127,148,1,25.0,-0.95,-0.04,-0.2,-0.92,-0.02,-0.33,
2018-03-20 11:13:26,40,19.1,19.4,133,147,1,25.0,-0.94,-0.04,-0.22,-0.92,-0.02,-0.33,
2018-03-20 11:13:26,38,19.1,19.4,90,93,1,24.0,-0.95,-0.04,-0.21,-0.91,-0.02,-0.33,
2018-03-20 11:13:28,40,19.1,19.3,88,89,1,25.0,-0.95,-0.04,-0.22,-0.92,-0.02,-0.33,
2018-03-20 11:13:28,40,19.1,19.3,86,98,1,26.0,-0.95,-0.04,-0.21,-0.93,-0.02,-0.33,
2018-03-20 11:13:29,40,19.1,19.3,86,92,0,26.0,-0.95,-0.04,-0.22,-0.92,-0.02,-0.33,
2018-03-20 11:13:29,40,19.1,19.2,90,93,0,26.0,-0.95,-0.04,-0.21,-0.91,-0.02,-0.33,
2018-03-20 11:13:30,40,19.1,19.2,90,92,0,25.0,-0.95,-0.04,-0.21,-0.93,-0.02,-0.32,
2018-03-20 11:13:30,40,19.1,19.2,89,90,0,25.0,-0.95,-0.04,-0.22,-0.92,-0.02,-0.33,
2018-03-20 11:13:31,40,19.1,19.2,91,90,0,26.0,-0.94,-0.03,-0.21,-0.92,-0.02,-0.33,
2018-03-20 11:13:33,41,19.1,19.2,90,84,0,26.0,-0.95,-0.04,-0.21,-0.92,-0.02,-0.33,
